species,generation,evolution stage,habitat,tier,map,table,time of day,rarity
NACLI,9,0,cave,T2,MAP_GRANITE_CAVE_B1F,land,any,common
SWINUB,2,0,cave,T2,MAP_GRANITE_CAVE_B1F,land,any,common
BRAMBLIN,9,0,night-spooky,T2,MAP_GRANITE_CAVE_B2F,land,night,common
BRONZOR,4,0,cave,T2,MAP_GRANITE_CAVE_B2F,rock smash,any,common
GEODUDE,1,0,cave,T2,MAP_GRANITE_CAVE_B2F,rock smash,any,common
NINCADA,3,0,cave,T2,MAP_GRANITE_CAVE_B2F,rock smash,any,common
ROCKRUFF,7,0,cave,T2,MAP_GRANITE_CAVE_B2F,rock smash,any,common
GASTLY,1,0,night-spooky,T2,MAP_GRANITE_CAVE_STEVENS_ROOM,land,night,common
NICKIT,8,0,night-spooky,T2,MAP_GRANITE_CAVE_STEVENS_ROOM,land,night,common
ROGGENROLA,5,0,cave,T2,MAP_GRANITE_CAVE_STEVENS_ROOM,land,any,common
TINKATINK,9,0,cave,T2,MAP_GRANITE_CAVE_STEVENS_ROOM,land,any,common
TRAPINCH,3,0,cave,T2,MAP_GRANITE_CAVE_STEVENS_ROOM,land,any,common
ARROKUDA,8,0,water,T2,MAP_ROUTE105,fish,any,common
CORSOLA,2,0,water,T2,MAP_ROUTE105,fish,any,common
FEEBAS,3,0,water,T2,MAP_ROUTE105,fish,any,common
HORSEA,1,0,water,T2,MAP_ROUTE105,fish,any,common
OMANYTE,1,0,water,T2,MAP_ROUTE105,fish,any,common
SHELLDER,1,0,water,T2,MAP_ROUTE105,fish,any,common
SQUIRTLE,1,0,water,T2,MAP_ROUTE105,fish,any,common
SURSKIT,3,0,water,T2,MAP_ROUTE105,fish,any,common
TENTACOOL,1,0,water,T2,MAP_ROUTE105,fish,any,common
WOOPER,2,0,water,T2,MAP_ROUTE105,fish,any,common
CLEFFA,1,0,field,T2,MAP_ROUTE105,land,any,common
COTTONEE,5,0,field,T2,MAP_ROUTE105,land,any,common
CROAGUNK,4,0,field,T2,MAP_ROUTE105,land,any,common
ELECTRIKE,3,0,urban-electric,T2,MAP_ROUTE105,land,any,common
MEOWTH,1,0,field,T2,MAP_ROUTE105,land,any,common
MORELULL,7,0,forest,T2,MAP_ROUTE105,land,night,common
TYNAMO,5,0,urban-electric,T2,MAP_ROUTE105,land,any,common
WATTREL,9,0,urban-electric,T2,MAP_ROUTE105,land,any,common
GOLDEEN,1,0,water,T2,MAP_ROUTE106,fish,any,common
KABUTO,1,0,water,T2,MAP_ROUTE106,fish,any,common
LOTAD,3,0,water,T2,MAP_ROUTE106,fish,any,common
PSYDUCK,1,0,water,T2,MAP_ROUTE106,fish,any,common
SPHEAL,3,0,water,T2,MAP_ROUTE106,fish,any,common
BOUNSWEET,7,0,forest,T2,MAP_ROUTE106,land,any,common
EXEGGCUTE,1,0,forest,T2,MAP_ROUTE106,land,any,common
IGGLYBUFF,1,0,field,T2,MAP_ROUTE106,land,any,common
MAGNEMITE,1,0,field,T2,MAP_ROUTE106,land,any,common
MUNNA,5,0,field,T2,MAP_ROUTE106,land,any,common
PETILIL,5,0,forest,T2,MAP_ROUTE106,land,morning,common
SCATTERBUG_POKEBALL,6,0,forest,T2,MAP_ROUTE106,land,any,common
SHROODLE,9,0,field,T2,MAP_ROUTE106,land,any,common
SLAKOTH,3,0,field,T2,MAP_ROUTE106,land,any,common
SPEAROW,1,0,field,T2,MAP_ROUTE106,land,any,common
TOXEL,8,0,urban-electric,T2,MAP_ROUTE106,land,any,common
UNOWN,2,0,field,T2,MAP_ROUTE106,land,any,common
VOLBEAT,3,0,forest,T2,MAP_ROUTE106,land,any,common
STARYU,1,0,water,T2,MAP_ROUTE107,fish,any,common
WIMPOD,7,0,water,T2,MAP_ROUTE107,fish,any,common
BLITZLE,5,0,urban-electric,T2,MAP_ROUTE107,land,any,common
BURMY_PLANT,4,0,forest,T2,MAP_ROUTE107,land,any,common
EKANS,1,0,field,T2,MAP_ROUTE107,land,any,common
FARFETCHD,1,0,field,T2,MAP_ROUTE107,land,any,common
HATENNA,8,0,field,T2,MAP_ROUTE107,land,any,common
HELIOPTILE,6,0,urban-electric,T2,MAP_ROUTE107,land,any,common
ILLUMISE,3,0,forest,T2,MAP_ROUTE107,land,any,common
MANKEY,1,0,field,T2,MAP_ROUTE107,land,any,common
MAREEP,2,0,urban-electric,T2,MAP_ROUTE107,land,any,common
MINCCINO,5,0,field,T2,MAP_ROUTE107,land,any,common
RELLOR,9,0,forest,T2,MAP_ROUTE107,land,any,common
SEEDOT,3,0,forest,T2,MAP_ROUTE107,land,any,common
TYROGUE,1,0,field,T2,MAP_ROUTE107,land,any,common
WHISMUR,3,0,field,T2,MAP_ROUTE107,land,any,common
WYNAUT,2,0,field,T2,MAP_ROUTE107,land,any,common
ZUBAT,1,0,field,T2,MAP_ROUTE107,land,night,common
MAGIKARP,1,0,water,T2,MAP_ROUTE108,fish,any,common
POLIWAG,1,0,water,T2,MAP_ROUTE108,fish,any,common
SEEL,1,0,water,T2,MAP_ROUTE108,fish,any,common
WINGULL,3,0,water,T2,MAP_ROUTE108,fish,any,common
WISHIWASHI_SOLO,7,0,water,T2,MAP_ROUTE108,fish,any,common
AZURILL,2,0,field,T2,MAP_ROUTE108,land,any,common
BUDEW,3,0,forest,T2,MAP_ROUTE108,land,any,common
COMBEE,4,0,forest,T2,MAP_ROUTE108,land,morning,common
FLITTLE,9,0,field,T2,MAP_ROUTE108,land,any,common
GOSSIFLEUR,8,0,forest,T2,MAP_ROUTE108,land,any,common
GOTHITA,5,0,field,T2,MAP_ROUTE108,land,any,common
KOFFING,1,0,field,T2,MAP_ROUTE108,land,any,common
MAKUHITA,3,0,field,T2,MAP_ROUTE108,land,any,common
MILCERY,8,0,field,T2,MAP_ROUTE108,land,any,common
ODDISH,1,0,forest,T2,MAP_ROUTE108,land,any,common
PICHU,1,0,urban-electric,T2,MAP_ROUTE108,land,any,common
PINECO,2,0,forest,T2,MAP_ROUTE108,land,any,common
WOOBAT,5,0,field,T2,MAP_ROUTE108,land,any,common
BARBOACH,3,0,water,T2,MAP_ROUTE109,fish,any,common
CHEWTLE,8,0,water,T2,MAP_ROUTE109,fish,any,common
DEWPIDER,7,0,water,T2,MAP_ROUTE109,fish,any,common
TYMPOLE,5,0,water,T2,MAP_ROUTE109,fish,any,common
WIGLETT,9,0,water,T2,MAP_ROUTE109,fish,any,common
ABRA,1,0,field,T2,MAP_ROUTE109,land,any,common
CHERUBI,4,0,forest,T2,MAP_ROUTE109,land,any,common
EEVEE,1,0,field,T2,MAP_ROUTE109,land,any,common
GRIMER,1,0,field,T2,MAP_ROUTE109,land,any,common
HAPPINY,1,0,field,T2,MAP_ROUTE109,land,any,common
HOPPIP,2,0,forest,T2,MAP_ROUTE109,land,any,common
NIDORAN_F,1,0,field,T2,MAP_ROUTE109,land,any,common
PARAS,1,0,forest,T2,MAP_ROUTE109,land,any,common
RALTS,3,0,field,T2,MAP_ROUTE109,land,any,common
SKITTY,3,0,field,T2,MAP_ROUTE109,land,any,common
SMOLIV,9,0,forest,T2,MAP_ROUTE109,land,any,common
SNUBBULL,2,0,field,T2,MAP_ROUTE109,land,any,common
SOLOSIS,5,0,field,T2,MAP_ROUTE109,land,any,common
BELLSPROUT,1,0,forest,T2,MAP_ROUTE116,land,any,common
CHINGLING,3,0,field,T2,MAP_ROUTE116,land,any,common
DITTO,1,0,field,T2,MAP_ROUTE116,land,any,common
DROWZEE,1,0,field,T2,MAP_ROUTE116,land,any,common
FOMANTIS,7,0,forest,T2,MAP_ROUTE116,land,any,common
FOONGUS,5,0,forest,T2,MAP_ROUTE116,land,any,common
MEDITITE,3,0,field,T2,MAP_ROUTE116,land,any,common
NIDORAN_M,1,0,field,T2,MAP_ROUTE116,land,any,common
RIOLU,4,0,field,T2,MAP_ROUTE116,land,any,common
SHROOMISH,3,0,forest,T2,MAP_ROUTE116,land,any,common
SMEARGLE,2,0,field,T2,MAP_ROUTE116,land,any,common
SUNKERN,2,0,forest,T2,MAP_ROUTE116,land,morning,common
TADBULB,9,0,urban-electric,T2,MAP_ROUTE116,land,any,common
TOGEPI,2,0,field,T2,MAP_ROUTE116,land,any,common
VENIPEDE,5,0,forest,T2,MAP_ROUTE116,land,any,common
VENONAT,1,0,forest,T2,MAP_ROUTE116,land,any,common
YAMPER,8,0,urban-electric,T2,MAP_ROUTE116,land,any,common
BALTOY,3,0,cave,T2,MAP_RUSTURF_TUNNEL,land,any,common
CUBONE,1,0,cave,T2,MAP_RUSTURF_TUNNEL,land,any,common
ROLYCOLY,8,0,cave,T2,MAP_RUSTURF_TUNNEL,land,any,common
SANDILE,5,0,cave,T2,MAP_RUSTURF_TUNNEL,land,any,common
VAROOM,9,0,cave,T2,MAP_RUSTURF_TUNNEL,land,any,common
CHARMANDER,1,0,volcanic,T3,MAP_FIERY_PATH,land,any,common
FERROSEED,5,0,cave,T3,MAP_FIERY_PATH,land,any,common
ANORITH,3,0,cave,T3,MAP_FIERY_PATH,land,any,uncommon
ARON,3,0,cave,T3,MAP_FIERY_PATH,land,any,uncommon
DRIFLOON,4,0,night-spooky,T3,MAP_FIERY_PATH,land,night,uncommon
DRILBUR,5,0,cave,T3,MAP_FIERY_PATH,land,any,uncommon
HOUNDOUR,2,0,volcanic,T3,MAP_FIERY_PATH,land,any,uncommon
LITLEO,6,0,volcanic,T3,MAP_FIERY_PATH,land,any,uncommon
MASCHIFF,9,0,night-spooky,T3,MAP_FIERY_PATH,land,night,uncommon
ONIX,1,0,cave,T3,MAP_FIERY_PATH,land,any,uncommon
PUMPKABOO_AVERAGE,6,0,night-spooky,T3,MAP_FIERY_PATH,land,night,uncommon
SILICOBRA,8,0,cave,T3,MAP_FIERY_PATH,land,any,uncommon
MUDKIP,3,0,water,T3,MAP_METEOR_FALLS_1F_1R,fish,any,common
KRABBY,1,0,water,T3,MAP_METEOR_FALLS_1F_1R,fish,any,uncommon
LUVDISC,3,0,water,T3,MAP_METEOR_FALLS_1F_1R,fish,any,uncommon
TOTODILE,2,0,water,T3,MAP_METEOR_FALLS_1F_1R,fish,any,uncommon
LITWICK,5,0,volcanic,T3,MAP_METEOR_FALLS_1F_1R,land,any,common
SIZZLIPEDE,8,0,volcanic,T3,MAP_METEOR_FALLS_1F_1R,land,any,common
DWEBBLE,5,0,cave,T3,MAP_METEOR_FALLS_1F_1R,land,any,uncommon
HONEDGE,6,0,cave,T3,MAP_METEOR_FALLS_1F_1R,land,any,uncommon
LITTEN,7,0,volcanic,T3,MAP_METEOR_FALLS_1F_1R,land,any,uncommon
STUNKY,4,0,night-spooky,T3,MAP_METEOR_FALLS_1F_1R,land,night,uncommon
TOEDSCOOL,9,0,cave,T3,MAP_METEOR_FALLS_1F_1R,land,any,uncommon
BINACLE,6,0,water,T3,MAP_METEOR_FALLS_1F_2R,fish,any,common
CARVANHA,3,0,water,T3,MAP_METEOR_FALLS_1F_2R,fish,any,common
CHINCHOU,2,0,water,T3,MAP_METEOR_FALLS_1F_2R,fish,any,uncommon
POPPLIO,7,0,water,T3,MAP_METEOR_FALLS_1F_2R,fish,any,uncommon
CHIMCHAR,4,0,volcanic,T3,MAP_METEOR_FALLS_1F_2R,land,any,common
GOLETT,5,0,cave,T3,MAP_METEOR_FALLS_1F_2R,land,any,common
SINISTEA_PHONY,8,0,night-spooky,T3,MAP_METEOR_FALLS_1F_2R,land,night,common
VULPIX,1,0,volcanic,T3,MAP_METEOR_FALLS_1F_2R,land,any,common
GLIMMET,9,0,cave,T3,MAP_METEOR_FALLS_1F_2R,land,any,uncommon
HIPPOPOTAS,4,0,cave,T3,MAP_METEOR_FALLS_1F_2R,land,any,uncommon
RHYHORN,1,0,cave,T3,MAP_METEOR_FALLS_1F_2R,land,any,uncommon
SCRAGGY,5,0,night-spooky,T3,MAP_METEOR_FALLS_1F_2R,land,night,uncommon
MAREANIE,7,0,water,T3,MAP_METEOR_FALLS_B1F_1R,fish,any,common
FINNEON,4,0,water,T3,MAP_METEOR_FALLS_B1F_1R,fish,any,uncommon
PIPLUP,4,0,water,T3,MAP_METEOR_FALLS_B1F_1R,fish,any,uncommon
QWILFISH,2,0,water,T3,MAP_METEOR_FALLS_B1F_1R,fish,any,uncommon
SKRELP,6,0,water,T3,MAP_METEOR_FALLS_B1F_1R,fish,any,uncommon
NUMEL,3,0,cave,T3,MAP_METEOR_FALLS_B1F_1R,land,any,common
POLTCHAGEIST_COUNTERFEIT,9,0,night-spooky,T3,MAP_METEOR_FALLS_B1F_1R,land,night,common
YAMASK,5,0,night-spooky,T3,MAP_METEOR_FALLS_B1F_1R,land,night,common
CUFANT,8,0,cave,T3,MAP_METEOR_FALLS_B1F_1R,land,any,uncommon
MAGBY,1,0,volcanic,T3,MAP_METEOR_FALLS_B1F_1R,land,any,uncommon
PAWNIARD,5,0,cave,T3,MAP_METEOR_FALLS_B1F_1R,land,any,uncommon
CORPHISH,3,0,water,T3,MAP_METEOR_FALLS_B1F_2R,fish,any,common
CLAUNCHER,6,0,water,T3,MAP_METEOR_FALLS_B1F_2R,fish,any,uncommon
MANTYKE,2,0,water,T3,MAP_METEOR_FALLS_B1F_2R,fish,any,uncommon
TIRTOUGA,5,0,water,T3,MAP_METEOR_FALLS_B1F_2R,fish,any,uncommon
CYNDAQUIL,2,0,volcanic,T3,MAP_METEOR_FALLS_B1F_2R,land,any,common
FUECOCO,9,0,volcanic,T3,MAP_METEOR_FALLS_B1F_2R,land,any,common
TEPIG,5,0,volcanic,T3,MAP_METEOR_FALLS_B1F_2R,land,any,common
CRANIDOS,4,0,cave,T3,MAP_METEOR_FALLS_B1F_2R,land,any,uncommon
LARVESTA,5,0,volcanic,T3,MAP_METEOR_FALLS_B1F_2R,land,any,uncommon
SALANDIT,7,0,volcanic,T3,MAP_METEOR_FALLS_B1F_2R,land,any,uncommon
CHARCADET,9,0,volcanic,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,any,common
FENNEKIN,6,0,volcanic,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,any,common
PHANTUMP,6,0,night-spooky,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,night,common
SLUGMA,2,0,volcanic,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,any,common
LILEEP,3,0,cave,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,any,uncommon
PANSEAR,5,0,volcanic,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,any,uncommon
PHANPY,2,0,cave,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,any,uncommon
SANDYGAST,7,0,cave,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,any,uncommon
SHIELDON,4,0,cave,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,any,uncommon
ZORUA,5,0,night-spooky,T3,MAP_METEOR_FALLS_STEVENS_CAVE,land,night,uncommon
CLOBBOPUS,8,0,field,T3,MAP_ROUTE110,land,any,common
DODUO,1,0,field,T3,MAP_ROUTE110,land,any,common
GULPIN,3,0,field,T3,MAP_ROUTE110,land,any,common
SNIVY,5,0,forest,T3,MAP_ROUTE110,land,any,common
BULBASAUR,1,0,forest,T3,MAP_ROUTE110,land,any,uncommon
CHIKORITA,2,0,forest,T3,MAP_ROUTE110,land,any,uncommon
CRABRAWLER,7,0,field,T3,MAP_ROUTE110,land,any,uncommon
ELGYEM,5,0,field,T3,MAP_ROUTE110,land,any,uncommon
SKIDDO,6,0,forest,T3,MAP_ROUTE110,land,any,uncommon
TRUBBISH,5,0,field,T3,MAP_ROUTE110,land,any,uncommon
TURTWIG,4,0,forest,T3,MAP_ROUTE110,land,any,uncommon
DUCKLETT,5,0,water,T3,MAP_ROUTE111,fish,any,common
OSHAWOTT,5,0,water,T3,MAP_ROUTE111,fish,any,common
BUIZEL,4,0,water,T3,MAP_ROUTE111,fish,any,uncommon
CUTIEFLY,7,0,forest,T3,MAP_ROUTE111,land,night,common
GROWLITHE,1,0,volcanic,T3,MAP_ROUTE111,land,any,common
SHELMET,5,0,forest,T3,MAP_ROUTE111,land,any,common
SPRIGATITO,9,0,forest,T3,MAP_ROUTE111,land,any,common
NATU,2,0,field,T3,MAP_ROUTE111,land,any,uncommon
PANCHAM,6,0,field,T3,MAP_ROUTE111,land,any,uncommon
SPOINK,3,0,field,T3,MAP_ROUTE111,land,any,uncommon
VOLTORB,1,0,urban-electric,T3,MAP_ROUTE111,land,any,uncommon
LICKITUNG,1,0,field,T3,MAP_ROUTE112,land,any,common
MACHOP,1,0,field,T3,MAP_ROUTE112,land,any,common
TANDEMAUS,9,0,field,T3,MAP_ROUTE112,land,any,common
AIPOM,2,0,field,T3,MAP_ROUTE112,land,any,uncommon
BUNEARY,4,0,field,T3,MAP_ROUTE112,land,any,uncommon
DEERLING_SPRING,5,0,forest,T3,MAP_ROUTE112,land,any,uncommon
ESPURR,6,0,field,T3,MAP_ROUTE112,land,any,uncommon
MIENFOO,5,0,field,T3,MAP_ROUTE112,land,any,uncommon
PANSAGE,5,0,forest,T3,MAP_ROUTE112,land,any,uncommon
SPINDA,3,0,field,T3,MAP_ROUTE112,land,any,uncommon
STUFFUL,7,0,field,T3,MAP_ROUTE112,land,any,uncommon
CAPSAKID,9,0,forest,T3,MAP_ROUTE113,land,any,common
GLAMEOW,4,0,field,T3,MAP_ROUTE113,land,any,common
